"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"24,0";"24,0";"23,5";"88,0";"92,0";"88,0";"21,9";"22,3";"21,9";"1012,0";"1012,0";"1011,2";"";"";"";"";"0,0"
"01/01/2021";"0100";"25,2";"25,2";"24,0";"79,0";"88,0";"76,0";"21,3";"21,8";"20,3";"1012,7";"1012,7";"1012,0";"";"";"";"";"0,0"
"01/01/2021";"0200";"24,0";"25,8";"24,0";"100,0";"100,0";"78,0";"24,0";"24,4";"21,2";"1012,8";"1013,0";"1012,7";"";"";"";"";"0,0"
"01/01/2021";"0300";"22,5";"24,0";"22,4";"";"";"";"";"";"";"1012,0";"1012,8";"1011,9";"";"";"";"";"0,0"
"01/01/2021";"0400";"22,1";"22,5";"21,8";"";"";"";"";"";"";"1010,9";"1012,0";"1010,9";"";"";"";"";"0,0"
"01/01/2021";"0500";"22,1";"22,4";"21,8";"";"";"";"";"";"";"1010,7";"1011,1";"1010,7";"";"";"";"";"0,0"
"01/01/2021";"0600";"22,8";"22,8";"22,1";"";"";"";"";"";"";"1010,3";"1010,7";"1010,3";"";"";"";"";"0,0"
"01/01/2021";"0700";"22,6";"23,0";"22,5";"";"";"";"";"";"";"1010,6";"1010,6";"1010,3";"";"";"";"";"0,0"
"01/01/2021";"0800";"22,5";"22,8";"22,5";"";"";"";"";"";"";"1011,0";"1011,0";"1010,5";"";"";"";"";"0,0"
"01/01/2021";"0900";"22,5";"22,6";"22,4";"";"";"";"";"";"";"1011,7";"1011,7";"1011,0";"";"";"";"49,90";"0,0"
"01/01/2021";"1000";"24,4";"24,4";"22,5";"";"";"";"";"";"";"1012,3";"1012,3";"1011,7";"";"";"";"479,40";"0,0"
"01/01/2021";"1100";"25,5";"26,7";"24,3";"88,0";"100,0";"82,0";"23,3";"25,2";"22,7";"1012,3";"1012,3";"1012,2";"";"";"";"1431,70";"0,0"
"01/01/2021";"1200";"25,7";"26,1";"24,0";"92,0";"100,0";"88,0";"24,3";"25,4";"23,1";"1012,7";"1012,7";"1012,3";"";"";"";"2164,40";"0,0"
"01/01/2021";"1300";"26,5";"26,5";"25,4";"90,0";"94,0";"88,0";"24,7";"24,8";"23,7";"1012,9";"1012,9";"1012,7";"";"";"";"3042,40";"0,0"
"01/01/2021";"1400";"26,0";"26,9";"25,9";"89,0";"91,0";"86,0";"24,1";"25,2";"23,7";"1012,9";"1012,9";"1012,7";"";"";"";"3322,70";"0,0"
"01/01/2021";"1500";"26,8";"27,4";"25,8";"81,0";"90,0";"78,0";"23,2";"24,2";"22,6";"1012,9";"1013,0";"1012,8";"";"";"";"3734,10";"0,0"
"01/01/2021";"1600";"26,4";"26,9";"25,9";"87,0";"90,0";"80,0";"24,1";"24,6";"22,7";"1012,6";"1012,9";"1012,6";"";"";"";"3892,00";"0,0"
"01/01/2021";"1700";"26,0";"27,0";"26,0";"90,0";"92,0";"86,0";"24,3";"25,4";"24,0";"1012,3";"1012,7";"1012,3";"";"";"";"2792,10";"0,0"
"01/01/2021";"1800";"25,3";"26,0";"25,1";"";"100,0";"90,0";"";"25,6";"24,2";"1012,4";"1012,5";"1012,1";"";"";"";"424,10";"0,0"
"01/01/2021";"1900";"25,3";"25,7";"25,3";"";"";"";"";"";"";"1012,7";"1012,7";"1012,3";"";"";"";"424,60";"0,4"
"01/01/2021";"2000";"24,8";"25,5";"24,7";"";"";"";"";"";"";"1012,0";"1012,8";"1012,0";"";"";"";"142,40";"0,6"
"01/01/2021";"2100";"24,9";"25,1";"24,6";"";"";"";"";"";"";"1012,3";"1012,3";"1011,7";"";"";"";"338,60";"0,2"
"01/01/2021";"2200";"24,5";"25,0";"24,4";"";"";"";"";"";"";"1012,7";"1012,7";"1012,2";"";"";"";"76,00";"0,0"
"01/01/2021";"2300";"24,2";"24,5";"24,1";"";"";"";"";"";"";"1013,5";"1013,6";"1012,7";"";"";"";"";"0,0"
"02/01/2021";"0000";"23,5";"24,2";"23,5";"";"";"";"";"";"";"1014,3";"1014,3";"1013,5";"";"";"";"";"0,0"
"02/01/2021";"0100";"23,8";"23,8";"23,1";"";"";"";"";"";"";"1015,0";"1015,1";"1014,3";"";"";"";"";"0,0"
"02/01/2021";"0200";"23,6";"23,9";"23,1";"";"";"";"";"";"";"1014,0";"1015,0";"1014,0";"";"";"";"";"1,0"
"02/01/2021";"0300";"22,9";"23,7";"22,7";"";"";"";"";"";"";"1013,9";"1014,0";"1013,7";"";"";"";"";"0,0"
"02/01/2021";"0400";"22,9";"23,6";"22,8";"";"";"";"";"";"";"1013,6";"1013,9";"1013,5";"";"";"";"";"0,0"
"02/01/2021";"0500";"22,5";"23,3";"22,4";"";"";"";"";"";"";"1012,8";"1013,6";"1012,8";"";"";"";"";"0,0"
"02/01/2021";"0600";"22,7";"22,7";"22,2";"";"";"";"";"";"";"1012,0";"1012,8";"1012,0";"";"";"";"";"0,0"
"02/01/2021";"0700";"22,2";"22,8";"22,2";"";"";"";"";"";"";"1012,2";"1012,3";"1012,0";"";"";"";"";"0,0"
"02/01/2021";"0800";"21,7";"22,3";"21,7";"";"";"";"";"";"";"1012,3";"1012,6";"1012,2";"";"";"";"";"0,0"
"02/01/2021";"0900";"22,1";"22,1";"21,7";"";"";"";"";"";"";"1012,5";"1012,5";"1012,2";"";"";"";"41,40";"0,0"
"02/01/2021";"1000";"22,3";"22,3";"21,9";"";"";"";"";"";"";"1013,1";"1013,1";"1012,5";"";"";"";"243,60";"0,0"
"02/01/2021";"1100";"24,9";"25,0";"22,3";"";"";"";"";"";"";"1013,0";"1013,2";"1013,0";"";"";"";"744,00";"0,0"
"02/01/2021";"1200";"25,3";"25,5";"24,2";"90,0";"";"";"23,6";"";"";"1013,1";"1013,1";"1012,9";"";"";"";"1392,60";"0,0"
"02/01/2021";"1300";"25,9";"26,2";"25,3";"97,0";"97,0";"90,0";"25,3";"25,4";"23,9";"1013,1";"1013,2";"1012,8";"";"";"";"2250,40";"0,0"
"02/01/2021";"1400";"26,9";"27,7";"25,6";"86,0";"98,0";"80,0";"24,3";"25,7";"23,0";"1013,1";"1013,1";"1013,0";"";"";"";"2953,90";"0,0"
"02/01/2021";"1500";"26,6";"27,0";"26,0";"91,0";"93,0";"85,0";"25,1";"25,4";"24,1";"1012,9";"1013,1";"1012,9";"";"";"";"3173,00";"0,0"
"02/01/2021";"1600";"24,7";"26,7";"24,7";"99,0";"99,0";"88,0";"24,5";"25,3";"23,6";"1012,7";"1012,9";"1012,6";"";"";"";"1294,80";"0,0"
"02/01/2021";"1700";"23,6";"24,9";"23,6";"";"100,0";"97,0";"";"24,9";"23,6";"1012,0";"1012,7";"1012,0";"";"";"";"368,50";"0,0"
"02/01/2021";"1800";"24,6";"24,6";"23,5";"";"";"";"";"";"";"1011,3";"1012,0";"1011,3";"";"";"";"827,20";"0,0"
"02/01/2021";"1900";"24,5";"24,7";"24,1";"100,0";"";"";"24,5";"";"";"1011,0";"1011,4";"1011,0";"";"";"";"916,60";"0,0"
